sale_first_week,game_time,game_days,bin_one,bin_two,ltv
234.2026336868659,108,4,1,1,320.4817319339737
0.0,64,5,1,1,14.44455865901516
100.7084041366297,59,4,0,2,143.64311419467498
73.54354308470724,100,3,1,2,107.45375463153394
168.91130820635976,25,5,1,1,233.86732955542973
80.61469994859165,65,2,0,3,128.88675097024716
209.16007834331248,87,6,0,2,301.7979874385164
175.15012855948044,88,4,0,2,235.4414972758712
137.44896197861885,66,3,1,1,177.12652397518465
159.55083806795255,68,4,1,2,231.66840320229497
138.69447912779077,50,3,0,1,213.0612667704017
71.34325775398278,30,1,0,0,122.31034882365043
158.63109933136894,136,5,0,1,238.84346744665743
0.0,110,6,0,2,0.0
0.0,101,6,1,3,24.094768628793837
0.0,119,5,1,2,17.806257190265658
0.0,80,5,0,1,47.12264154102362
114.24431132096329,23,3,0,2,164.62373862889052
0.0,90,4,1,3,28.761387679162425
0.0,74,6,1,0,14.725089311157893
79.5888815405292,63,5,0,2,132.90769572864707
308.14402203934355,91,3,0,1,463.3406692494973
222.21037842811526,51,5,0,1,331.6319204446854
135.08412113378782,57,3,0,1,205.77759135966465
0.0,98,3,0,2,28.2356368393213
139.66072854216114,43,4,0,1,210.127655051142
210.30651895002683,47,3,0,1,288.34140787984506
0.0,90,5,1,1,9.463074382609195
0.0,26,5,0,1,36.88198842869715
0.0,80,3,1,1,26.11316607287226
233.9575548119637,132,6,1,3,318.8443780111422
233.77025741976968,112,5,0,2,308.65953082093904
180.969135659208,81,4,0,1,275.4342156519181
102.72463419974788,105,2,1,2,142.5334814467223
149.52256310387176,29,1,1,1,180.9738853247335
133.63301396576972,67,3,0,1,193.5176938361021
56.86794223499194,92,7,1,1,108.38683701525801
0.0,58,6,0,3,25.56793398271093
0.0,74,5,0,2,5.881990732132455
0.0,65,6,0,1,24.41701141802301
0.0,126,3,1,1,19.31440740619643
0.0,79,2,0,3,29.363841531029987
0.0,20,5,0,2,14.47701325205266
194.2538144474911,35,4,1,2,278.62509135426365
0.0,106,3,1,2,11.89399357602963
0.0,96,5,0,1,23.281427573061205
0.0,88,5,0,1,26.063602281145084
0.0,58,4,0,1,10.222645669626669
61.216793472514865,34,2,1,1,86.28231327613243
0.0,106,4,1,0,24.548403147943638
0.0,74,4,0,2,39.16506031518767
40.085220112296156,88,4,0,1,77.96895682783992
105.68838508858838,34,4,1,2,173.69440394736233
0.0,48,6,1,1,23.504853441703347
